operatorCode,lineCode,stationCode,stationName
GM,G1,G100,양촌
GM,G1,G101,구래
GM,G1,G102,마산
GM,G1,G103,장기
GM,G1,G104,운양
GM,G1,G105,걸포북변
GM,G1,G106,사우(김포시청)
GM,G1,G107,풍무
GM,G1,G108,고촌
GM,G1,G109,김포공항
IC,I1,107,검단호수공원
IC,I1,108,신검단중앙
IC,I1,109,아라
IC,I1,110,계양
IC,I1,111,귤현
IC,I1,112,박촌
IC,I1,113,임학
IC,I1,114,계산
IC,I1,115,경인교대입구
IC,I1,116,작전
IC,I1,117,갈산
IC,I1,118,부평구청
IC,I1,119,부평시장
IC,I1,120,부평
IC,I1,121,동수
IC,I1,122,부평삼거리
IC,I1,123,간석오거리
IC,I1,124,인천시청
IC,I1,125,예술회관
IC,I1,126,인천터미널
IC,I1,127,문학경기장
IC,I1,128,선학
IC,I1,129,신연수
IC,I1,130,원인재
IC,I1,131,동춘
IC,I1,132,동막
IC,I1,133,캠퍼스타운
IC,I1,134,테크노파크
IC,I1,135,지식정보단지
IC,I1,136,인천대입구
IC,I1,137,센트럴파크
IC,I1,138,국제업무지구
IC,I1,139,송도달빛축제공원
IC,I2,201,검단오류
IC,I2,202,왕길
IC,I2,203,검단사거리
IC,I2,204,마전
IC,I2,205,완정
IC,I2,206,독정
IC,I2,207,검암
IC,I2,208,검바위
IC,I2,209,아시아드경기장
IC,I2,210,서해구청
IC,I2,211,가정
IC,I2,212,가정중앙시장
IC,I2,213,석남
IC,I2,214,서부여성회관
IC,I2,215,인천가좌
IC,I2,216,가재울
IC,I2,217,주안국가산단
IC,I2,218,주안
IC,I2,219,시민공원
IC,I2,220,석바위시장
IC,I2,221,인천시청
IC,I2,222,석천사거리
IC,I2,223,모래내시장
IC,I2,224,만수
IC,I2,225,남동구청
IC,I2,226,인천대공원
IC,I2,227,운연
KR,WS,S07,일산
KR,WS,S08,풍산
KR,WS,S09,백마
KR,WS,S10,곡산
KR,WS,S11,대곡
KR,WS,S12,능곡
KR,WS,S13,김포공항역
KR,WS,S14,원종
KR,WS,S15,부천종합운동장역
SW,WS,S16,소사
SW,WS,S17,소새울
SW,WS,S18,시흥대야
SW,WS,S19,신천
SW,WS,S20,신현
SW,WS,S22,시흥시청
SW,WS,S23,시흥능곡
SW,WS,S24,달미
SW,WS,S25,선부
SW,WS,S26,초지
SW,WS,S27,시우
SW,WS,S28,원시
